PRODUCT,DRAW NUMBER,SEQUENCE NUMBER,DRAW DATE,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,BONUS NUMBER
649,343,0,6/5/87,5,16,19,25,46,48,38
649,344,0,9/5/87,3,9,32,38,40,47,49
649,345,0,13/5/87,1,5,21,36,44,45,22
649,346,0,16/5/87,1,9,16,17,38,42,30
649,347,0,20/5/87,6,8,10,18,22,45,1
649,348,0,23/5/87,1,27,34,40,41,44,35
649,349,0,27/5/87,16,18,21,23,34,38,32
649,350,0,30/5/87,3,12,18,22,31,36,37
649,351,0,3/6/87,4,7,11,35,40,41,10
649,352,0,6/6/87,4,10,19,32,39,41,36
649,353,0,10/6/87,6,8,15,17,20,23,45
649,354,0,13/6/87,8,16,29,32,40,46,28
649,355,0,17/6/87,10,17,24,34,37,41,33
649,356,0,20/6/87,5,20,22,25,36,48,9
649,357,0,24/6/87,3,15,40,41,43,47,38
649,358,0,27/6/87,1,15,31,32,37,42,38
649,359,0,1/7/87,3,12,15,18,21,33,5
649,360,0,4/7/87,4,19,26,32,44,46,36
649,361,0,8/7/87,5,13,14,18,37,40,16
649,362,0,11/7/87,10,24,28,33,38,46,43
649,363,0,15/7/87,4,17,29,38,39,45,31
649,364,0,18/7/87,3,8,40,46,47,48,43
649,365,0,22/7/87,1,8,26,32,43,49,35
649,366,0,25/7/87,2,11,22,23,32,40,47
649,367,0,29/7/87,10,26,31,36,39,46,2
649,368,0,1/8/87,1,4,20,28,44,47,21
649,369,0,5/8/87,17,29,32,41,42,43,37
649,370,0,8/8/87,14,18,26,39,41,49,38
649,371,0,12/8/87,1,4,13,16,30,31,36
649,372,0,15/8/87,10,14,21,31,34,49,44
649,373,0,19/8/87,4,17,19,30,41,44,38
649,374,0,22/8/87,19,23,27,28,35,49,12
649,375,0,26/8/87,3,8,28,32,36,48,29
649,376,0,29/8/87,1,15,16,26,29,37,9
649,377,0,2/9/87,11,13,17,20,45,49,22
649,378,0,5/9/87,8,11,15,31,32,33,35
649,379,0,9/9/87,15,23,35,38,46,47,13
